"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"","book","1885","Miranda, Francisco de Sá de","Poesias de Francisco de Sâ de Miranda","","","","","http://books.google.com.co/books/download/Poesias_de_Francisco_de_S%C3%A2_de_Miranda.pdf?id=wxRbAAAAQAAJ&hl=&output=pdf&sig=ACfU3U3K4BAZeQXdLul6QTO3EK0Qg6LyVw&source=gbs_api","","1885","2025-12-09 19:39:49","2025-12-09 19:39:49","","","1116","","","","","","","","","","","","es","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=wxRbAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1885","Miranda, Francisco de Sá de","Poesias de Francisco de Sá de Miranda","","","","","http://books.google.com.co/books/download/Poesias_de_Francisco_de_S%C3%A1_de_Miranda.pdf?id=sRVXAAAAYAAJ&hl=&output=pdf&sig=ACfU3U3iImYGvSRjNuSnuyLfe-wS8txKrg&source=gbs_api","","1885","2025-12-09 19:39:49","2025-12-09 19:39:49","","","1128","","","","","","","","","","","","pt-BR","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=sRVXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1871","Braga, Teófilo","Historia dos quinhentistas","","","","","http://books.google.com.co/books/download/Historia_dos_quinhentistas.pdf?id=E04tAAAAIAAJ&hl=&output=pdf&sig=ACfU3U0NBY0NwryVKzSmshBWlC1llYkYrg&source=gbs_api","","1871","2025-12-09 19:39:49","2025-12-09 19:39:49","","","346","","","","","","","","","","","","pt-BR","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=E04tAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1784","Miranda, Francisco de Sa de","Obras do doctor Francisco de Sá de Miranda","","","","","http://books.google.com.co/books/download/Obras_do_doctor_Francisco_de_S%C3%A1_de_Mira.pdf?id=98hTAAAAcAAJ&hl=&output=pdf&sig=ACfU3U3pizK7xAOBceXjydxYkC3WQn57Tw&source=gbs_api","","1784","2025-12-09 19:39:49","2025-12-09 19:39:49","","","638","","","","","","","","","","","","pt-BR","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=98hTAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1784","Miranda, Francisco de Sá de","Obras do doctor Francisco de Sá de Miranda","","","","","http://books.google.com.co/books/download/Obras_do_doctor_Francisco_de_S%C3%A1_de_Mira.pdf?id=hNwFAAAAQAAJ&hl=&output=pdf&sig=ACfU3U2GfGXyeBdPYIdwt6b_gk0RJUN5nQ&source=gbs_api","","1784","2025-12-09 19:39:49","2025-12-09 19:39:49","","","306","","","","","","","","","","","","pt-BR","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=hNwFAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1614","Miranda, Francisco de Sá de","As obras do doctor Francisco de Saa de Miranda","","","","","http://books.google.com.co/books/download/As_obras_do_doctor_Francisco_de_Saa_de_M.pdf?id=oYReSW1mkbcC&hl=&output=pdf&sig=ACfU3U1IdGe21w5-y6kOWLG_kYFODP2xEw&source=gbs_api","","1614","2025-12-09 19:39:49","2025-12-09 19:39:49","","","354","","","","","","","","","","","","pt-BR","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=oYReSW1mkbcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1793","Miranda, Francisco “de”","Corresopondance du général Miranda avec le général Dumourier [!], les ministres de la guerre Pache & Beurnonville, depuis janvier 1793: Ordres du général Dumourier [!] au général Miranda, pour la bataille de Nerwinden & la retraite qui en a été la suite","","","","","https://play.google.com/store/books/details?id=VbWA8uonDdAC&rdid=book-VbWA8uonDdAC&rdot=1&source=gbs_api","","1793","2025-12-09 19:39:49","2025-12-09 19:39:49","","","140","","","","","","","","","","","","fr","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=VbWA8uonDdAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1622","Miranda, Francisco de Sa : de","Comedias famosas portuguesas. Dos doctores Francisco de Saa de Miranda, & Antonio Ferreira","","","","","http://books.google.com.co/books/download/Comedias_famosas_portuguesas_Dos_doctore.pdf?id=j8434EbZPKQC&hl=&output=pdf&sig=ACfU3U0HnXezHf3pKOCF5-ropnFm3E4_pw&source=gbs_api","","1622","2025-12-09 19:39:49","2025-12-09 19:39:49","","","334","","","","","","","","","","","","pt-BR","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=j8434EbZPKQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1889","Miranda, Francisco de Sá de","Obras primas: com uma noticia biographica do auctor","","","","","http://books.google.com.co/books/download/Obras_primas.pdf?id=sUgRAQAAIAAJ&hl=&output=pdf&sig=ACfU3U3nr30bPljU7blg4jglIqQmhOUfXw&source=gbs_api","","1889","2025-12-09 19:39:49","2025-12-09 19:39:49","","","140","","","","","","","","","","","","pt-BR","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=sUgRAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1885","Miranda, Francisco de Sa de","Poesias, edicao feita sobre cinco manuscriptos ineditos e todas as edicoes impressas, accompanhada de um estudo sobre o poeta, variantes, notas, glossario e um retrato por Carolina Michaelias de Vasconcellos","","","","","https://play.google.com/store/books/details?id=hKU7t5xTJMwC&rdid=book-hKU7t5xTJMwC&rdot=1&source=gbs_api","","1885","2025-12-09 19:39:49","2025-12-09 19:39:49","","","1120","","","","","","","","","","","","de","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=hKU7t5xTJMwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1885","Miranda, Francisco de Sá de","Poesias, ed. acompanhada de um estudo sobre o poeta, variantes, notas, glossario e um retrato por C. Michaëlis de Vasconcellos","","","","","http://books.google.com.co/books/download/Poesias_ed_acompanhada_de_um_estudo_sobr.pdf?id=FuIIAAAAQAAJ&hl=&output=pdf&sig=ACfU3U1ZxZw2RpCpwRbVEP74Qrb8g0_s_A&source=gbs_api","","1885","2025-12-09 19:39:49","2025-12-09 19:39:49","","","1126","","","","","","","","","","","","en","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=FuIIAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","book","1535","Miranda, Francisco de Sá de","Copia D'una lettera alla Illustriss. Sign. Iulia Gonzaga Colonna. In laquale si contiene. La presa della Goletta con tutte le sue particolarita. ...","","","","","https://play.google.com/store/books/details?id=BaZcAAAAcAAJ&rdid=book-BaZcAAAAcAAJ&rdot=1&source=gbs_api","","1535","2025-12-09 19:39:49","2025-12-09 19:39:49","","","16","","","","","","","","","","","","it","","","Google Books","","","","Venezuela","","http://books.google.com/books/content?id=BaZcAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
